epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.8701,1.39449,3.40478,1.3026,0.00868,0.45696,0.14331,0.09654,1.34659,3.27182,1.05559,0.00018577,0.00018577,0.00018577
2,55.7188,1.40901,2.34289,1.19758,0.01137,0.58201,0.18046,0.11329,1.36437,3.01007,1.04512,0.00038201,0.00038201,0.00038201
3,82.2378,1.42547,2.10775,1.18769,0.01339,0.69996,0.21267,0.12141,1.42784,2.88576,1.08759,0.000574289,0.000574289,0.000574289
4,101.29,1.34843,1.97086,1.16374,0.29137,0.11506,0.21936,0.1254,1.48777,2.65135,1.10754,0.000762607,0.000762607,0.000762607
5,123.683,1.31504,1.87882,1.14706,0.36649,0.13502,0.23481,0.14911,1.46905,2.62555,1.12339,0.000946964,0.000946964,0.000946964
6,147.451,1.34081,1.83121,1.16538,0.31312,0.25589,0.19533,0.12091,1.47127,2.59229,1.15998,0.00112736,0.00112736,0.00112736
7,169.815,1.30605,1.78241,1.14047,0.3128,0.33214,0.20091,0.12124,1.49989,2.5644,1.1881,0.00130379,0.00130379,0.00130379
8,189.451,1.34474,1.68777,1.12753,0.30779,0.40483,0.26941,0.15655,1.45385,2.10179,1.14007,0.00132997,0.00132997,0.00132997
9,209.608,1.31881,1.66908,1.14576,0.29213,0.40858,0.27569,0.17285,1.45729,2.0418,1.14295,0.00131582,0.00131582,0.00131582
10,231.426,1.29401,1.63626,1.1312,0.28603,0.46509,0.2802,0.15968,1.47546,2.25683,1.14723,0.00130168,0.00130168,0.00130168
11,252.987,1.32844,1.51394,1.12797,0.24149,0.29174,0.20094,0.11693,1.47369,2.32446,1.15775,0.00128753,0.00128753,0.00128753
12,271.159,1.3042,1.54856,1.13094,0.13003,0.21733,0.1008,0.05668,1.47565,2.82731,1.17222,0.00127338,0.00127338,0.00127338
